"_ID","_X","_Y"
1,718389.7514,5143265.5013
1,718143.7514,5142749.5013
1,717836.7514,5141166.0013
1,717836.7514,5141142.0013
1,717849.2514,5140323.5013
1,717942.2514,5139990.5013
1,718081.5014,5139426.5013
1,718164.5014,5139056.5013
1,718168.5014,5138973.5013
1,718166.7514,5138940.5013
1,718159.0014,5138879.0013
1,718146.2514,5138837.5013
1,718037.5014,5138831.0013
1,718011.7514,5138832.5013
1,717955.5014,5138852.5013
1,717829.2514,5138911.7513
1,717357.0014,5139402.5013
1,716967.2514,5139959.2513
1,716886.5014,5139930.5013
1,716853.7514,5139918.0013
1,716827.2514,5139907.5013
1,716821.2514,5139905.0013
1,716784.0014,5139888.0013
1,716732.5014,5139846.0013
1,716717.5014,5139827.0013
1,716684.2514,5139782.0013
1,716661.7514,5139749.0013
1,716648.2514,5139723.5013
1,716612.2514,5139631.0013
1,716594.0014,5139576.0013
1,716577.2514,5139520.5013
1,716566.2514,5139406.5013
1,716573.0014,5139384.0013
1,716585.5014,5139347.0013
1,716597.7514,5139323.0013
1,716633.5014,5139234.5013
1,716676.7514,5139124.5013
1,716659.7514,5139073.5013
1,716630.5014,5139035.5013
1,716608.5014,5139011.0013
1,716587.0014,5138992.5013
1,716561.2514,5138971.0013
1,716540.2514,5138957.0013
1,716514.2514,5138941.0013
1,716502.0014,5138933.5013
1,716495.2514,5138931.0013
1,716490.7514,5138934.5013
1,716487.5014,5138937.7513
1,716178.5014,5138820.5013
1,715803.2514,5138638.0013
1,715769.2514,5138621.5013
1,715736.7514,5138623.5013
1,715639.5014,5138612.0013
1,715621.7514,5138609.0013
1,715593.2514,5138608.0013
1,715561.2514,5138608.0013
1,715486.0014,5138608.0013
1,715456.5014,5138609.5013
1,715437.5014,5138615.0013
1,715413.5014,5138632.7513
1,715367.2514,5138673.5013
1,715344.0014,5138694.7513
1,715317.7514,5138729.7513
1,715317.0014,5138731.0013
1,715299.7514,5138753.0013
1,715281.5014,5138775.5013
1,715245.5014,5138802.5013
1,715134.2514,5138872.5013
1,715070.7514,5138903.5013
1,715049.2514,5138909.7513
1,715042.7514,5138911.5013
1,715024.5014,5138913.5013
1,715009.2514,5138914.0013
1,714956.2514,5138913.0013
1,714874.2514,5138909.0013
1,714847.5014,5138904.5013
1,714820.0014,5138893.5013
1,714802.0014,5138876.5013
1,714781.0014,5138844.0013
1,714759.5014,5138800.0013
1,714757.7514,5138773.0013
1,714781.0014,5138737.5013
1,714779.0014,5138717.7513
1,714775.0014,5138706.5013
1,714690.5014,5138554.0013
1,714620.2514,5138440.5013
1,714415.2514,5138474.0013
1,714252.0014,5138530.0013
1,714222.0014,5138535.5013
1,714209.5014,5138533.5013
1,714180.0014,5138514.5013
1,714145.7514,5138490.5013
1,713949.5014,5138329.5013
1,713900.0014,5138284.5013
1,713700.0014,5138040.0013
1,713516.7514,5137791.7513
1,713748.0014,5137457.0013
1,713784.7514,5137390.5013
1,713920.2514,5137106.5013
1,713935.7514,5137072.5013
1,713964.2514,5137007.5013
1,715406.0014,5136349.0013
1,715542.0014,5136304.0013
1,715575.7514,5136291.0013
1,715711.0014,5136176.0013
1,715728.0014,5136160.0013
1,715712.2514,5136094.0013
1,715710.0014,5135881.0013
1,715729.0014,5135640.0013
1,715802.0014,5135090.0013
1,715873.0014,5135055.0013
1,717172.0014,5134609.0013
1,717465.0014,5134532.0013
1,717741.0014,5134464.0013
1,717804.0014,5134447.0013
1,717924.0014,5134413.0013
1,717937.5014,5134401.5013
1,718069.0014,5134272.0013
1,718072.0014,5134250.0013
1,718147.0014,5133636.0013
1,718143.2514,5133608.0013
1,718139.0014,5133577.0013
1,718129.0014,5133527.0013
1,718088.0014,5133324.0013
1,718079.0014,5132963.0013
1,718103.0014,5132915.0013
1,718323.0014,5132619.0013
1,718517.0014,5132400.0013
1,718882.7514,5132208.5013
1,718882.0014,5132195.0013
1,718808.0014,5132006.0013
1,718791.0014,5131971.0013
1,718508.0014,5131553.0013
1,718367.0014,5131435.0013
1,718313.0014,5131399.0013
1,718301.7514,5131385.5013
1,718055.7514,5130830.0013
1,717798.0014,5129793.0013
1,717822.5014,5129740.5013
1,717847.2514,5129687.5013
1,718731.0014,5128241.0013
1,718762.7514,5128200.2513
1,718826.2514,5128163.0013
1,720245.2514,5128283.5013
1,720676.5014,5128377.0013
1,720770.0014,5128465.5013
1,720891.7514,5128587.2513
1,720970.7514,5128665.5013
1,721052.2514,5128744.5013
1,721148.5014,5128802.7513
1,721925.0014,5129172.7513
1,721978.5014,5129197.7513
1,722137.2514,5129255.5013
1,722194.5014,5129268.2513
1,722238.7514,5129276.5013
1,722282.2514,5129279.5013
1,722341.0014,5129280.0013
1,722363.2514,5129273.5013
1,722366.2514,5129272.0013
1,722473.7514,5129079.5013
1,722571.7514,5128845.5013
1,722600.2514,5128772.5013
1,722604.0014,5128761.5013
1,722622.2514,5128706.0013
1,722632.0014,5128581.0013
1,722611.7514,5128134.0013
1,722599.2514,5127861.5013
1,722594.2514,5127764.0013
1,722586.7514,5127678.5013
1,722576.7514,5127640.5013
1,722547.2514,5127610.5013
1,722515.2514,5127579.0013
1,722487.2514,5127549.5013
1,722461.0014,5127510.0013
1,722437.7514,5127457.5013
1,722418.7514,5127396.5013
1,722407.0014,5127346.0013
1,722416.2514,5127263.0013
1,722441.2514,5127192.5013
1,722461.5014,5127136.5013
1,722480.2514,5127090.5013
1,722528.2514,5126984.0013
1,722792.2514,5126620.0013
1,722932.0014,5126439.0013
1,722993.2514,5126381.2513
1,723178.7514,5126212.2513
1,723630.2514,5126523.7513
1,724665.2514,5126364.2513
1,724843.7514,5126213.7513
1,725235.2514,5125960.7513
1,725274.5014,5125938.7513
1,725296.5014,5125931.7513
1,725343.5014,5125932.5013
1,725390.7514,5125941.5013
1,725521.5014,5125970.7513
1,725779.2514,5126035.2513
1,725867.5014,5126064.0013
1,725661.2514,5125597.5013
1,725628.2514,5125528.0013
1,725595.7514,5125461.5013
1,725562.0014,5125400.0013
1,725485.2514,5125286.0013
1,725454.0014,5125243.5013
1,725341.2514,5125164.0013
1,725259.0014,5125115.5013
1,725195.0014,5125063.5013
