"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"genoa",1802,1,0,0,0,0,0,7,0,0,1
"genoa",1803,1,0,0,0,0,0,7,0,0,1
"genoa",1804,1,0,0,0,0,0,7,0,0,1
"genoa",1805,1,0,0,0,0,0,7,0,0,1
"genoa",1806,1,0,0,0,0,0,7,0,0,1
"genoa",1807,1,0,0,0,0,0,7,0,0,1
"genoa",1808,1,0,1,0,0,0,7,0,0,1
"genoa",1809,1,0,0,0,0,0,7,0,0,1
"genoa",1810,1,0,0,0,0,0,7,0,0,1
"genoa",1811,1,0,0,0,0,0,7,0,0,1
"genoa",1812,1,0,0,0,0,0,7,0,0,1
"genoa",1813,1,0,0,0,0,0,7,0,0,1
"genoa",1814,1,0,0,0,0,0,7,0,0,1
"genoa",1815,1,0,0,0,0,0,7,0,0,1
"genoa",1816,1,0,0,0,0,0,7,0,0,1
"genoa",1817,1,0,0,0,0,0,7,0,0,1
"genoa",1818,1,0,0,0,0,0,7,0,0,1
"genoa",1819,1,0,0,0,0,0,7,0,0,1
"genoa",1820,1,0,0,0,0,0,7,0,0,1
"livorno",1781,1,0,0,0,0,0,8,0,0,1
"livorno",1782,1,0,0,0,0,0,8,0,0,1
"livorno",1783,1,0,0,0,0,0,8,0,0,1
"livorno",1784,1,0,0,0,0,0,8,0,0,1
"livorno",1785,1,0,0,0,0,0,8,0,0,1
"livorno",1786,1,0,0,0,0,0,8,0,0,1
"livorno",1787,1,0,0,0,0,0,8,0,0,1
"livorno",1788,1,0,1,0,0,0,8,0,0,1
"livorno",1789,1,0,0,0,0,0,8,0,0,1
"livorno",1790,1,0,0,0,0,0,8,0,0,1
"livorno",1791,1,0,1,0,0,0,8,0,0,1
"livorno",1792,1,0,0,0,0,0,8,0,0,1
"livorno",1793,1,0,1,0,0,0,8,0,0,1
"livorno",1794,1,0,0,0,0,0,8,0,0,1
"livorno",1795,1,0,0,0,0,0,8,0,0,1
"livorno",1796,1,0,1,1,1,1,8,0,0,1
"livorno",1797,1,0,0,0,0,0,8,0,0,1
"livorno",1798,1,0,0,0,0,0,8,0,0,1
"livorno",1799,1,0,0,0,0,0,8,0,0,1
"livorno",1800,1,0,0,0,0,0,8,0,0,1
"livorno",1801,1,0,1,0,0,0,8,0,0,1
"livorno",1802,1,0,0,0,0,0,8,0,0,1
"livorno",1803,1,0,0,0,0,0,8,0,0,1
"livorno",1804,1,0,0,0,0,0,8,0,0,1
"livorno",1805,1,0,0,0,0,0,8,0,0,1
"livorno",1806,1,0,0,0,0,0,8,0,0,1
"livorno",1807,1,0,0,0,0,0,8,0,0,1
"livorno",1808,1,0,1,1,0,0,8,0,0,1
"livorno",1809,1,0,0,0,0,0,8,0,0,1
"livorno",1810,1,0,0,0,0,0,8,0,0,1
"livorno",1811,1,0,0,0,0,0,8,0,0,1
"livorno",1812,1,0,0,0,0,0,8,0,0,1
"livorno",1813,1,0,0,0,0,0,8,0,0,1
"livorno",1814,1,0,1,0,0,0,8,0,0,1
"livorno",1815,1,0,0,0,0,0,8,0,0,1
"livorno",1816,1,0,0,0,0,0,8,0,0,1
"livorno",1817,1,0,0,0,0,0,8,0,0,1
"livorno",1818,1,0,0,0,0,0,8,0,0,1
"livorno",1819,1,0,0,0,0,0,8,0,0,1
"livorno",1820,1,0,0,0,0,0,8,0,0,1
"mantua",1781,1,0,0,0,0,0,10,0,0,1
"mantua",1782,1,0,0,0,0,0,10,0,0,1
"mantua",1783,1,0,0,0,0,0,10,0,0,1
"mantua",1784,1,0,0,0,0,0,10,0,0,1
"mantua",1785,1,0,0,0,0,0,10,0,0,1
"mantua",1786,1,0,0,0,0,0,10,0,0,1
"mantua",1787,1,0,0,0,0,0,10,0,0,1
"mantua",1788,1,0,0,0,0,0,10,0,0,1
"mantua",1789,1,0,0,0,0,0,10,0,0,1
"mantua",1790,1,0,0,0,0,0,10,0,0,1
"mantua",1791,1,0,0,0,0,0,10,0,0,1
"mantua",1792,1,0,0,0,0,0,10,0,0,1
"mantua",1793,1,0,0,0,0,0,10,0,0,1
"mantua",1794,1,0,0,0,0,0,10,0,0,1
"mantua",1795,1,0,0,0,0,0,10,0,0,1
"mantua",1796,1,0,0,0,0,0,10,0,0,1
"mantua",1797,1,0,0,0,0,0,10,0,0,1
"mantua",1798,1,0,0,0,0,0,10,0,0,1
"mantua",1799,1,0,0,0,0,0,10,0,0,1
"mantua",1800,1,0,0,0,0,0,10,0,0,1
"mantua",1801,1,0,0,0,0,0,10,1,0,1
"mantua",1802,1,0,0,0,0,0,10,1,0,1
"mantua",1803,1,0,0,0,0,0,10,1,0,1
"mantua",1804,1,0,1,0,0,0,10,1,0,1
"mantua",1805,1,0,1,0,0,0,10,1,0,1
"mantua",1806,1,0,0,0,0,0,10,1,0,1
"mantua",1807,1,0,0,0,0,0,10,1,0,1
"mantua",1808,1,0,0,0,0,0,10,1,0,1
"mantua",1809,1,0,0,0,0,0,10,1,0,1
"mantua",1810,1,0,0,0,0,0,10,1,0,1
"mantua",1811,1,0,0,0,0,0,10,1,0,1
"mantua",1812,1,0,2,0,0,0,10,1,0,1
"mantua",1813,1,0,0,0,0,0,10,1,0,1
"mantua",1814,1,0,0,0,0,0,10,1,0,1
"mantua",1815,1,0,0,0,0,0,10,1,0,1
"mantua",1816,1,0,0,0,0,0,10,1,0,1
"mantua",1817,1,0,0,0,0,0,10,1,0,1
"mantua",1818,1,0,0,0,0,0,10,1,0,1
"mantua",1819,1,0,0,0,0,0,10,1,0,1
"mantua",1820,1,0,0,0,0,0,10,1,0,1
"messina",1781,1,0,0,0,0,0,11,0,1,0
