"state","year","operas","operas_annals","operas_amazon","operas_met","copyright_post1801","state1","basic_copyright","extend_life30","extend_life40"
"d_parma",1858,0,0,0,0,NA,2,1,1,0
"d_parma",1859,0,0,0,0,NA,2,1,1,0
"d_parma",1860,0,0,0,0,NA,2,1,1,0
"d_parma",1861,0,0,0,0,NA,2,1,0,0
"d_parma",1862,0,0,0,0,NA,2,1,0,0
"d_parma",1863,0,0,0,0,NA,2,1,0,0
"d_parma",1864,0,0,0,0,NA,2,1,0,0
"d_parma",1865,1,0,0,0,NA,2,1,0,1
"d_parma",1866,1,0,0,0,NA,2,1,0,1
"d_parma",1867,1,0,0,0,NA,2,1,0,1
"d_parma",1868,0,0,0,0,NA,2,1,0,1
"d_parma",1869,0,0,0,0,NA,2,1,0,1
"d_parma",1870,1,0,0,0,NA,2,1,0,1
"d_parma",1871,1,0,0,0,NA,2,1,0,1
"d_parma",1872,0,0,0,0,NA,2,1,0,1
"d_parma",1873,1,0,0,0,NA,2,1,0,1
"d_parma",1874,0,0,0,0,NA,2,1,0,1
"d_parma",1875,0,0,0,0,NA,2,1,0,1
"d_parma",1876,3,0,0,0,NA,2,1,0,1
"d_parma",1877,0,0,0,0,NA,2,1,0,1
"d_parma",1878,2,0,0,1,NA,2,1,0,1
"d_parma",1879,1,0,0,0,NA,2,1,0,1
"d_parma",1880,2,0,0,0,NA,2,1,0,1
"d_parma",1881,1,0,0,0,NA,2,1,0,1
"d_parma",1882,0,0,0,0,NA,2,1,0,1
"d_parma",1883,0,0,0,0,NA,2,1,0,1
"d_parma",1884,0,0,0,0,NA,2,1,0,1
"d_parma",1885,0,0,0,0,NA,2,1,0,1
"d_parma",1886,0,0,0,0,NA,2,1,0,1
"d_parma",1887,0,0,0,0,NA,2,1,0,1
"d_parma",1888,0,0,0,0,NA,2,1,0,1
"d_parma",1889,0,0,0,0,NA,2,1,0,1
"d_parma",1890,0,0,0,0,NA,2,1,0,1
"d_parma",1891,0,0,0,0,NA,2,1,0,1
"d_parma",1892,0,0,0,0,NA,2,1,0,1
"d_parma",1893,0,0,0,0,NA,2,1,0,1
"d_parma",1894,1,0,0,0,NA,2,1,0,1
"d_parma",1895,0,0,0,0,NA,2,1,0,1
"d_parma",1896,1,0,0,0,NA,2,1,0,1
"d_parma",1897,0,0,0,0,NA,2,1,0,1
"d_parma",1898,0,0,0,0,NA,2,1,0,1
"d_parma",1899,0,0,0,0,NA,2,1,0,1
"d_parma",1900,0,0,0,0,NA,2,1,0,1
"gd_tuscany",1770,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1771,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1772,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1773,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1774,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1775,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1776,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1777,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1778,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1779,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1780,2,0,0,0,NA,3,0,0,0
"gd_tuscany",1781,1,0,0,0,0,3,0,0,0
"gd_tuscany",1782,1,0,0,0,0,3,0,0,0
"gd_tuscany",1783,1,0,0,0,0,3,0,0,0
"gd_tuscany",1784,1,0,0,0,0,3,0,0,0
"gd_tuscany",1785,1,0,0,0,0,3,0,0,0
"gd_tuscany",1786,1,0,0,0,0,3,0,0,0
"gd_tuscany",1787,1,0,0,0,0,3,0,0,0
"gd_tuscany",1788,1,0,0,0,0,3,0,0,0
"gd_tuscany",1789,1,0,0,0,0,3,0,0,0
"gd_tuscany",1790,1,0,0,0,0,3,0,0,0
"gd_tuscany",1791,1,0,0,0,0,3,0,0,0
"gd_tuscany",1792,1,0,0,0,0,3,0,0,0
"gd_tuscany",1793,1,1,0,1,0,3,0,0,0
"gd_tuscany",1794,1,0,0,0,0,3,0,0,0
"gd_tuscany",1795,1,0,0,0,0,3,0,0,0
"gd_tuscany",1796,1,0,0,0,0,3,0,0,0
"gd_tuscany",1797,1,0,0,0,0,3,0,0,0
"gd_tuscany",1798,1,0,0,0,0,3,0,0,0
"gd_tuscany",1799,1,0,0,0,0,3,0,0,0
"gd_tuscany",1800,1,0,0,0,0,3,0,0,0
"gd_tuscany",1801,2,0,0,0,0,3,0,0,0
"gd_tuscany",1802,2,0,0,0,0,3,0,0,0
"gd_tuscany",1803,1,0,0,0,0,3,0,0,0
"gd_tuscany",1804,2,0,0,0,0,3,0,0,0
"gd_tuscany",1805,1,0,0,0,0,3,0,0,0
"gd_tuscany",1806,1,0,0,0,0,3,0,0,0
"gd_tuscany",1807,1,0,0,0,0,3,0,0,0
"gd_tuscany",1808,3,0,0,0,0,3,0,0,0
"gd_tuscany",1809,2,0,0,0,0,3,0,0,0
"gd_tuscany",1810,2,0,0,0,0,3,0,0,0
"gd_tuscany",1811,1,0,0,0,0,3,0,0,0
"gd_tuscany",1812,1,0,0,0,0,3,0,0,0
"gd_tuscany",1813,1,0,0,0,0,3,0,0,0
"gd_tuscany",1814,2,0,0,0,0,3,0,0,0
"gd_tuscany",1815,1,0,0,0,0,3,0,0,0
"gd_tuscany",1816,1,0,0,0,0,3,0,0,0
"gd_tuscany",1817,1,0,0,0,0,3,0,0,0
"gd_tuscany",1818,1,0,0,0,0,3,0,0,0
"gd_tuscany",1819,1,0,0,0,0,3,0,0,0
"gd_tuscany",1820,1,0,0,0,0,3,0,0,0
"gd_tuscany",1821,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1822,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1823,1,0,0,0,NA,3,0,0,0
"gd_tuscany",1824,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1825,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1826,4,0,0,0,NA,3,0,0,0
"gd_tuscany",1827,2,0,0,0,NA,3,0,0,0
"gd_tuscany",1828,3,0,0,0,NA,3,0,0,0
"gd_tuscany",1829,3,0,0,0,NA,3,0,0,0
"gd_tuscany",1830,2,0,0,0,NA,3,0,0,0
"gd_tuscany",1831,0,0,0,0,NA,3,0,0,0
"gd_tuscany",1832,2,0,1,1,NA,3,0,0,0
"gd_tuscany",1833,3,1,2,2,NA,3,0,0,0
"gd_tuscany",1834,1,0,0,0,NA,3,0,0,0
"gd_tuscany",1835,1,0,0,0,NA,3,0,0,0
"gd_tuscany",1836,4,0,0,0,NA,3,0,0,0
"gd_tuscany",1837,3,0,0,0,NA,3,0,0,0
"gd_tuscany",1838,5,0,0,0,NA,3,0,0,0
"gd_tuscany",1839,4,1,0,0,NA,3,0,0,0
"gd_tuscany",1840,6,0,0,0,NA,3,1,1,0
"gd_tuscany",1841,3,2,0,0,NA,3,1,1,0
"gd_tuscany",1842,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1843,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1844,3,0,0,0,NA,3,1,1,0
"gd_tuscany",1845,2,1,0,0,NA,3,1,1,0
"gd_tuscany",1846,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1847,8,2,1,1,NA,3,1,1,0
"gd_tuscany",1848,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1849,1,0,0,0,NA,3,1,1,0
"gd_tuscany",1850,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1851,4,0,0,0,NA,3,1,1,0
"gd_tuscany",1852,3,0,0,0,NA,3,1,1,0
"gd_tuscany",1853,1,0,0,0,NA,3,1,1,0
"gd_tuscany",1854,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1855,1,0,0,1,NA,3,1,1,0
"gd_tuscany",1856,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1857,3,0,0,0,NA,3,1,1,0
"gd_tuscany",1858,1,0,0,0,NA,3,1,1,0
"gd_tuscany",1859,0,0,0,0,NA,3,1,1,0
"gd_tuscany",1860,2,0,0,0,NA,3,1,1,0
"gd_tuscany",1861,0,0,0,0,NA,3,1,0,0
"gd_tuscany",1862,0,0,0,0,NA,3,1,0,0
"gd_tuscany",1863,0,0,0,0,NA,3,1,0,0
"gd_tuscany",1864,0,0,0,0,NA,3,1,0,0
"gd_tuscany",1865,2,0,0,0,NA,3,1,0,1
"gd_tuscany",1866,2,0,0,0,NA,3,1,0,1
"gd_tuscany",1867,2,0,0,0,NA,3,1,0,1
"gd_tuscany",1868,3,1,0,0,NA,3,1,0,1
"gd_tuscany",1869,3,0,0,0,NA,3,1,0,1
"gd_tuscany",1870,3,0,0,0,NA,3,1,0,1
"gd_tuscany",1871,3,1,0,0,NA,3,1,0,1
"gd_tuscany",1872,11,0,0,0,NA,3,1,0,1
"gd_tuscany",1873,1,1,0,0,NA,3,1,0,1
"gd_tuscany",1874,9,0,0,0,NA,3,1,0,1
"gd_tuscany",1875,7,1,0,0,NA,3,1,0,1
"gd_tuscany",1876,4,0,0,0,NA,3,1,0,1
"gd_tuscany",1877,4,0,0,0,NA,3,1,0,1
"gd_tuscany",1878,2,0,0,0,NA,3,1,0,1
