"composer_id","state1","year","post1801","copyright","copyright_post1801","returning_copyright_post1801","stayers_copyright_post1801","tot_operas","ret_france_austria","comp_operas","annals","met","amazon","returning","stayers"
9,4,1815,1,1,1,0,0,20,1,9,2,0,2,0,0
9,4,1820,1,1,1,0,0,20,1,1,0,0,0,0,0
9,7,1811,1,0,0,0,0,20,1,1,0,0,0,0,0
10,5,1805,1,0,0,0,0,6,1,1,0,0,0,0,0
10,7,1788,0,0,0,0,0,6,1,1,0,0,0,0,0
10,7,1790,0,0,0,0,0,6,1,1,1,1,0,0,0
10,3,1813,1,0,0,0,0,6,1,1,0,0,0,0,0
10,7,1789,0,0,0,0,0,6,1,1,0,0,0,0,0
10,5,1800,0,0,0,0,0,6,1,1,0,0,0,0,0
11,7,1819,1,0,0,0,0,3,1,1,0,0,0,0,0
11,7,1820,1,0,0,0,0,3,1,1,0,0,1,0,0
11,7,1814,1,0,0,0,0,3,1,1,0,0,0,0,0
12,4,1792,0,1,0,0,0,1,1,1,0,0,0,0,0
13,7,1799,0,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1801,1,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1785,0,0,0,0,0,53,1,3,0,0,0,1,0
13,8,1801,1,1,1,1,0,53,1,1,1,1,1,1,0
13,7,1783,0,0,0,0,0,53,1,4,0,0,0,1,0
13,7,1804,1,0,0,0,0,53,1,1,0,0,0,1,0
13,4,1783,0,1,0,0,0,53,1,1,0,0,0,1,0
13,6,1781,0,0,0,0,0,53,1,1,0,0,0,1,0
13,5,1797,0,0,0,0,0,53,1,3,0,0,0,1,0
13,7,1794,0,0,0,0,0,53,1,6,2,2,1,1,0
13,6,1797,0,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1782,0,0,0,0,0,53,1,3,0,0,0,1,0
13,5,1795,0,0,0,0,0,53,1,1,1,1,1,1,0
13,5,1784,0,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1795,0,0,0,0,0,53,1,3,0,0,0,1,0
13,5,1801,1,0,0,0,0,53,1,1,0,0,0,1,0
13,1,1797,0,0,0,0,0,53,0,1,0,0,0,1,0
13,6,1787,0,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1797,0,0,0,0,0,53,1,1,0,0,1,1,0
13,5,1781,0,0,0,0,0,53,0,3,0,0,0,1,0
13,8,1782,0,1,0,0,0,53,1,1,0,0,0,1,0
13,7,1801,1,0,0,0,0,53,1,1,0,0,0,1,0
13,8,1796,0,1,0,0,0,53,1,1,0,0,0,1,0
13,7,1793,0,0,0,0,0,53,1,1,1,1,1,1,0
13,7,1781,0,0,0,0,0,53,1,1,0,0,0,1,0
13,8,1781,0,1,0,0,0,53,1,3,0,0,0,1,0
13,8,1784,0,1,0,0,0,53,1,1,0,0,0,1,0
