"state","state1","year","copyright","post1801","copyright_post1801","operas","operas_annals","operas_met","operas_amazon","operas_lascala","operas_paris","operas_vienna","operas_buenos_aires","operas_no_milan","opera_nomi_nove","operas_novenice","linear_pretrend","pretrend_modena","pretrend_parma","pretrend_tuscany","pretrend_lombardy","pretrend_papal_state","pretrend_sardinia","pretrend_sicily","pretrend_venetia","cluster"
"papal_state",5,1792,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,12,0,0,0,9
"d_modena",1,1820,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"d_modena",1,1784,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,1
"d_parma",2,1793,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,13,0,0,0,0,0,0,3
"d_parma",2,1794,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,14,0,0,0,0,0,0,3
"two_sicilies",7,1790,0,0,0,2,1,1,0,0,1,0,1,2,2,2,0,0,0,0,0,0,0,10,0,13
"papal_state",5,1816,0,1,0,7,2,1,2,1,1,1,1,7,7,7,0,0,0,0,0,0,0,0,0,10
"d_modena",1,1788,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,0,0,0,1
"two_sicilies",7,1798,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,18,0,13
"two_sicilies",7,1819,0,1,0,8,2,2,2,2,2,2,2,8,8,8,0,0,0,0,0,0,0,0,0,14
"sardinia",6,1793,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,13,0,0,11
"two_sicilies",7,1807,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,14
"d_modena",1,1819,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"papal_state",5,1807,0,1,0,2,1,1,0,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1788,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,8,0,0,0,0,0,5
"papal_state",5,1787,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,0,0,0,9
"papal_state",5,1791,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,0,0,0,9
"d_parma",2,1809,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_parma",2,1810,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_parma",2,1804,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_parma",2,1815,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"d_modena",1,1807,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"sardinia",6,1792,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,12,0,0,11
"two_sicilies",7,1793,0,0,0,3,1,1,1,1,1,1,1,3,3,3,0,0,0,0,0,0,0,13,0,13
"sardinia",6,1795,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,15,0,0,11
"d_modena",1,1782,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,1
"two_sicilies",7,1813,0,1,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,14
"papal_state",5,1793,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,13,0,0,0,9
"d_modena",1,1804,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"d_modena",1,1789,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,9,0,0,0,0,0,0,0,1
"d_parma",2,1800,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,20,0,0,0,0,0,0,3
"two_sicilies",7,1809,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,14
"sardinia",6,1816,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,12
"d_parma",2,1795,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,15,0,0,0,0,0,0,3
"two_sicilies",7,1805,0,1,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,14
"gd_tuscany",3,1794,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,14,0,0,0,0,0,5
"d_parma",2,1791,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,11,0,0,0,0,0,0,3
"d_modena",1,1802,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"d_parma",2,1790,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,10,0,0,0,0,0,0,3
"papal_state",5,1799,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,19,0,0,0,9
"d_parma",2,1811,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"gd_tuscany",3,1815,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1784,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,5
"d_modena",1,1787,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,7,0,0,0,0,0,0,0,1
"papal_state",5,1811,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,10
"sardinia",6,1820,0,1,0,2,2,2,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,12
"gd_tuscany",3,1798,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,18,0,0,0,0,0,5
"gd_tuscany",3,1819,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"gd_tuscany",3,1802,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"papal_state",5,1797,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,17,0,0,0,9
"d_parma",2,1786,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,0,3
"d_parma",2,1803,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"sardinia",6,1783,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,11
"sardinia",6,1812,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,12
"d_parma",2,1796,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,16,0,0,0,0,0,0,3
"d_modena",1,1786,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,1
"d_modena",1,1811,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"papal_state",5,1813,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,10
"two_sicilies",7,1781,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,13
"two_sicilies",7,1815,0,1,0,8,1,1,1,1,1,1,1,8,8,8,0,0,0,0,0,0,0,0,0,14
"d_modena",1,1792,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,12,0,0,0,0,0,0,0,1
"sardinia",6,1781,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,11
"two_sicilies",7,1795,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,15,0,13
"gd_tuscany",3,1816,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"sardinia",6,1804,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
